Team,Age,G,MP,WEIGHT,YEAR
Philadelphia 76ers,22,2,12.5,25,2018
Philadelphia 76ers,22,6,10.2,61.2,2018
Philadelphia 76ers,24,6,7.5,45,2018
Philadelphia 76ers,25,3,6,18,2018
Philadelphia 76ers,20,14,5.7,79.8,2018
Philadelphia 76ers,23,3,5.7,17.1,2018
Philadelphia 76ers,27,3,5,15,2018
Philadelphia 76ers,28,3,2,6,2018
Cleveland Cavaliers,33,82,36.9,3025.8,2018
Cleveland Cavaliers,32,80,28.1,2248,2018
Cleveland Cavaliers,29,59,28,1652,2018
Cleveland Cavaliers,31,24,27.9,669.6,2018
Cleveland Cavaliers,28,15,27.1,406.5,2018
Cleveland Cavaliers,27,53,25.4,1346.2,2018
Cleveland Cavaliers,25,21,25.3,531.3,2018
Cleveland Cavaliers,31,78,23.4,1825.2,2018
Cleveland Cavaliers,36,46,23.2,1067.2,2018
Cleveland Cavaliers,25,28,22.6,632.8,2018
Cleveland Cavaliers,36,73,21.6,1576.8,2018
Cleveland Cavaliers,25,24,20.8,499.2,2018
Cleveland Cavaliers,26,53,20.2,1070.6,2018
Cleveland Cavaliers,27,14,19.7,275.8,2018
Cleveland Cavaliers,29,16,19.3,308.8,2018
Cleveland Cavaliers,36,57,26,1482,2018
Cleveland Cavaliers,33,1,15,15,2018
Cleveland Cavaliers,34,44,12.4,545.6,2018
Cleveland Cavaliers,22,61,11,671,2018
Cleveland Cavaliers,29,24,7.3,175.2,2018
Cleveland Cavaliers,21,32,6.7,214.4,2018
Cleveland Cavaliers,23,14,4.7,65.8,2018
Indiana Pacers,25,75,34,2550,2018
Indiana Pacers,29,81,32.2,2608.2,2018
Indiana Pacers,28,80,30.8,2464,2018
Indiana Pacers,30,69,29.2,2014.8,2018
Indiana Pacers,21,65,28.2,1833,2018
Indiana Pacers,26,82,27,2214,2018
Indiana Pacers,21,74,24.5,1813,2018
Indiana Pacers,27,82,22.6,1853.2,2018
Indiana Pacers,30,17,15.8,268.6,2018
Indiana Pacers,24,23,14.7,338.1,2018
Indiana Pacers,33,36,13.4,482.4,2018
Indiana Pacers,25,53,10.5,556.5,2018
Indiana Pacers,20,53,8.7,461.1,2018
Indiana Pacers,38,19,8,152,2018
Indiana Pacers,22,2,4.5,9,2018
Indiana Pacers,24,25,4.2,105,2018
Indiana Pacers,19,11,2.7,29.7,2018
Indiana Pacers,22,1,2,2,2018
Indiana Pacers,27,1,1,1,2018
Miami Heat,,,,,
