Team,Age,MP,G,WEIGHT
Portland Trail Blazers,24,16.7,40,668
Portland Trail Blazers,25,15.3,44,673.2
Portland Trail Blazers,26,14.4,47,676.8
Portland Trail Blazers,21,8.1,17,137.7
Portland Trail Blazers,22,5.8,15,87
Portland Trail Blazers,19,5.7,10,57
Portland Trail Blazers,20,4.7,7,32.9
Houston Rockets,29,37.4,47,1757.8
Houston Rockets,26,36,13,468
Houston Rockets,33,35.5,50,1775
Houston Rockets,24,34.2,42,1436.4
Houston Rockets,30,32.9,39,1283.1
Houston Rockets,33,32.6,28,912.8
Houston Rockets,29,30.8,5,154
Houston Rockets,34,29.4,10,294
Houston Rockets,25,24.8,25,620
Houston Rockets,28,23.1,36,831.6
Houston Rockets,33,21,46,966
Houston Rockets,28,19,2,38
Houston Rockets,24,15.4,34,523.6
Houston Rockets,36,13.2,24,316.8
Houston Rockets,27,9.8,12,117.6
Houston Rockets,27,9.1,16,145.6
Houston Rockets,20,8,23,184
Houston Rockets,22,8,2,16
Houston Rockets,21,6.7,15,100.5
Houston Rockets,23,1,1,1
San Antonio Spurs,29,35.4,48,1699.2
San Antonio Spurs,33,32.6,52,1695.2
San Antonio Spurs,25,28.7,52,1492.4
San Antonio Spurs,32,27.2,42,1142.4
San Antonio Spurs,24,25.3,43,1087.9
San Antonio Spurs,30,23.6,52,1227.2
San Antonio Spurs,32,22.5,50,1125
San Antonio Spurs,26,20.6,46,947.6
San Antonio Spurs,31,16.3,47,766.1
San Antonio Spurs,23,15,48,720
San Antonio Spurs,38,13.6,21,285.6
San Antonio Spurs,20,7.3,4,29.2
San Antonio Spurs,30,5.6,37,207.2
San Antonio Spurs,21,5.3,21,111.3
San Antonio Spurs,21,3.9,12,46.8
Utah Jazz,22,33.2,47,1560.4
Utah Jazz,26,31.7,51,1616.7
Utah Jazz,31,31.3,51,1596.3
Utah Jazz,28,28.6,44,1258.4
Utah Jazz,28,27.5,50,1375
Utah Jazz,27,23.2,50,1160
Utah Jazz,37,20.4,29,591.6
Utah Jazz,25,18.3,51,933.3
Utah Jazz,23,16.3,39,635.7
Utah Jazz,27,15.8,17,268.6
Utah Jazz,26,12,19,228
Utah Jazz,34,11.1,26,288.6
Utah Jazz,23,10.5,23,241.5
Utah Jazz,21,9,1,9
Utah Jazz,25,7.2,37,266.4
Utah Jazz,31,5.8,30,174
Utah Jazz,25,4,7,28
Utah Jazz,24,2,5,10
Los Angeles Clippers,26,34.6,51,1764.6
Los Angeles Clippers,30,31.3,44,1377.2
Los Angeles Clippers,28,29.8,45,1341
Los Angeles Clippers,30,26.4,51,1346.4
Los Angeles Clippers,20,26.1,51,1331.1
Los Angeles Clippers,25,26,51,1326
Los Angeles Clippers,32,25.6,45,1152
Los Angeles Clippers,34,16.3,44,717.2
Los Angeles Clippers,32,15.3,4,61.2
Los Angeles Clippers,30,13.9,48,667.2
Los Angeles Clippers,30,10.3,32,329.6
Los Angeles Clippers,24,10.2,39,397.8
Los Angeles Clippers,31,10,15,150
Los Angeles Clippers,21,8.3,15,124.5
Los Angeles Clippers,23,7.4,11,81.4
Los Angeles Clippers,24,5.2,34,176.8
Los Angeles Lakers,34,34.6,34,1176.4
Los Angeles Lakers,23,33,47,1551
Los Angeles Lakers,21,33,40,1320
Los Angeles Lakers,21,30.3,47,1424.1
Los Angeles Lakers,23,27,51,1377
Los Angeles Lakers,32,26.8,17,455.6
Los Angeles Lakers,25,24.1,51,1229.1
Los Angeles Lakers,31,22.1,44,972.4
Los Angeles Lakers,36,18.2,37,673.4
Los Angeles Lakers,28,15.5,50,775
Los Angeles Lakers,21,15.1,30,453
Los Angeles Lakers,23,12.7,7,88.9
Los Angeles Lakers,21,11,37,407
Los Angeles Lakers,30,10.9,23,250.7
Los Angeles Lakers,21,6.4,18,115.2
Los Angeles Lakers,19,4,7,28
Los Angeles Lakers,24,4,5,20
Sacramento Kings,26,31.6,50,1580
Sacramento Kings,21,31.6,49,1548.4
Sacramento Kings,25,28.5,50,1425
Sacramento Kings,26,28.1,38,1067.8
Sacramento Kings,28,26,39,1014
Sacramento Kings,30,24,49,1176
Sacramento Kings,19,23.5,36,846
Sacramento Kings,23,21.3,49,1043.7
Sacramento Kings,24,15.9,18,286.2
Sacramento Kings,25,14.5,40,580
Sacramento Kings,29,12.9,28,361.2
Sacramento Kings,20,12.5,37,462.5
Sacramento Kings,24,11.9,32,380.8
Sacramento Kings,22,9,11,99
Sacramento Kings,25,8.3,19,157.7
Minnesota Timberwolves,29,36.1,10,361
Minnesota Timberwolves,28,34.7,22,763.4
Minnesota Timberwolves,23,34.5,46,1587
Minnesota Timberwolves,23,33.2,50,1660
Minnesota Timberwolves,30,30.3,31,939.3
Minnesota Timberwolves,30,29,38,1102
Minnesota Timberwolves,33,25.3,49,1239.7
Minnesota Timberwolves,24,22.8,36,820.8
Minnesota Timberwolves,20,22.1,42,928.2
Minnesota Timberwolves,22,20.3,43,872.9
Minnesota Timberwolves,30,18.1,13,235.3
Minnesota Timberwolves,33,14.9,34,506.6
Minnesota Timberwolves,20,13.5,50,675
Minnesota Timberwolves,33,11.7,11,128.7
Minnesota Timberwolves,23,9.6,7,67.2
Minnesota Timberwolves,28,8.1,8,64.8
Minnesota Timberwolves,23,5.4,5,27
Minnesota Timberwolves,28,4.9,13,63.7
New Orleans Pelicans,25,37,41,1517
New Orleans Pelicans,28,36.8,51,1876.8
New Orleans Pelicans,24,29.6,47,1391.2
New Orleans Pelicans,29,29.4,44,1293.6
New Orleans Pelicans,27,28.9,32,924.8
New Orleans Pelicans,24,26.9,19,511.1
New Orleans Pelicans,28,24.6,46,1131.6
New Orleans Pelicans,27,21.2,32,678.4
New Orleans Pelicans,28,18.7,39,729.3
New Orleans Pelicans,31,15,25,375
New Orleans Pelicans,20,13.7,36,493.2
New Orleans Pelicans,27,12.9,34,438.6
New Orleans Pelicans,23,12.7,32,406.4
New Orleans Pelicans,22,9.7,33,320.1
New Orleans Pelicans,24,8,15,120
New Orleans Pelicans,24,6.3,6,37.8
Dallas Mavericks,26,32.3,45,1453.5
Dallas Mavericks,19,32.1,48,1540.8
Dallas Mavericks,30,31.2,49,1528.8
Dallas Mavericks,32,29.9,43,1285.7
Dallas Mavericks,21,28.4,31,880.4
Dallas Mavericks,25,24.4,49,1195.6
Dallas Mavericks,34,19.8,38,752.4
Dallas Mavericks,27,18.8,44,827.2
Dallas Mavericks,22,16.7,41,684.7
Dallas Mavericks,27,16.2,45,729
Dallas Mavericks,35,14.8,37,547.6
Dallas Mavericks,40,10,18,180
Dallas Mavericks,32,6.1,14,85.4
Dallas Mavericks,28,5.9,19,112.1
Dallas Mavericks,23,2,2,4
Dallas Mavericks,21,1,1,1
Memphis Grizzlies,34,33.7,50,1685
Memphis Grizzlies,31,33.6,50,1680
Memphis Grizzlies,32,31.2,49,1528.8
Memphis Grizzlies,25,29.7,42,1247.4
Memphis Grizzlies,29,26.5,13,344.5
Memphis Grizzlies,19,25.8,51,1315.8
Memphis Grizzlies,28,22.8,38,866.4
Memphis Grizzlies,28,22.7,49,1112.3
Memphis Grizzlies,23,20,3,60
Memphis Grizzlies,23,18.3,18,329.4
Memphis Grizzlies,30,15.3,3,45.9
Memphis Grizzlies,23,15,17,255
Memphis Grizzlies,30,14.4,36,518.4
Memphis Grizzlies,24,14.2,32,454.4
Memphis Grizzlies,30,13.3,29,385.7
Memphis Grizzlies,33,13,23,299
Memphis Grizzlies,28,7,1,7
Memphis Grizzlies,21,6.8,21,142.8
Memphis Grizzlies,24,6.5,8,52
Memphis Grizzlies,24,5,1,5
Memphis Grizzlies,27,1,1,1
Phoenix Suns,22,34.6,40,1384
Phoenix Suns,33,34,26,884
Phoenix Suns,25,31.6,43,1358.8
Phoenix Suns,20,30.8,47,1447.6
Phoenix Suns,23,27.3,22,600.6
Phoenix Suns,22,27,53,1431
Phoenix Suns,27,26.5,19,503.5
Phoenix Suns,21,23.3,53,1234.9
Phoenix Suns,20,20.5,33,676.5
Phoenix Suns,30,18.5,15,277.5
Phoenix Suns,21,18.2,35,637
Phoenix Suns,38,18,43,774
Phoenix Suns,25,16.4,47,770.8
Phoenix Suns,27,13.2,27,356.4
Phoenix Suns,36,12.7,7,88.9
Phoenix Suns,28,12.3,10,123
Phoenix Suns,21,12.1,20,242
Phoenix Suns,22,11.5,4,46
Phoenix Suns,22,10,2,20
Phoenix Suns,25,6,1,6
Phoenix Suns,27,5,1,5
